scorer,,,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra
individuals,,,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3
bodyparts,,,head,head,thorax,thorax,abdomen,abdomen,antenna-left,antenna-left,antenna-right,antenna-right,fore-leg-left,fore-leg-left,fore-leg-right,fore-leg-right,mid-leg-left,mid-leg-left,mid-leg-right,mid-leg-right,hind-leg-left,hind-leg-left,hind-leg-right,hind-leg-right,wing-left,wing-left,wing-right,wing-right,head,head,thorax,thorax,abdomen,abdomen,antenna-left,antenna-left,antenna-right,antenna-right,fore-leg-left,fore-leg-left,fore-leg-right,fore-leg-right,mid-leg-left,mid-leg-left,mid-leg-right,mid-leg-right,hind-leg-left,hind-leg-left,hind-leg-right,hind-leg-right,wing-left,wing-left,wing-right,wing-right,head,head,thorax,thorax,abdomen,abdomen,antenna-left,antenna-left,antenna-right,antenna-right,fore-leg-left,fore-leg-left,fore-leg-right,fore-leg-right,mid-leg-left,mid-leg-left,mid-leg-right,mid-leg-right,hind-leg-left,hind-leg-left,hind-leg-right,hind-leg-right,wing-left,wing-left,wing-right,wing-right
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,1757487476,img116.png,942.7888893337847,106.7845860102493,934.276735472526,94.59150074952733,899.9980618150246,62.15329279175756,955.9022074443725,111.1556920471119,938.877899721855,120.58807875823643,956.8224402942383,99.88283963625574,929.215454798264,122.88866088290096,951.3010431950433,90.45045292513119,914.4917292004111,107.93487707258156,939.1079579343215,74.80649447741243,899.0778289651587,85.84928867580214,919.0928934497401,59.852710667093035,882.5136376675741,74.11631984001308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487476,img129.png,821.4308281611735,76.76652105883645,834.078851201414,87.69539533632575,875.584014187834,123.79751935409942,808.5451270484043,73.78701221562294,817.632056222946,66.05084278324287,814.9305367386228,98.59187293531778,844.1560657053919,74.76938293719502,829.3512520629988,122.66597963473401,858.9451700503574,82.51157639047554,846.1491678267162,127.40473304886308,877.216641896433,101.00351990661363,854.7449116404719,136.73725490379778,885.1984040092061,100.38953820563108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487476,img170.png,668.9713351611144,143.02483130399807,684.8338689425834,150.1163169945371,728.6891093972328,158.51412899649125,651.4292389792547,157.5810387740519,663.7903152521831,135.9178947237283,,,681.1457933895549,131.25244361153156,699.0611256603904,126.0271383658712,,,,,713.8039511749321,131.81229774499516,684.1316821013609,182.38578780120787,,,785.6574543749589,91.70810819655972,800.1215759877308,75.25871498987794,814.8693078282041,61.361813832508886,787.9076994683231,108.9400868861708,775.1917495673304,98.79760303656946,,,,,,,,,,,,,,,,,,,898.0207182188619,60.117669373156005,870.8738491478206,88.87494593146253,,,,,,,,,,,,,853.6194832128367,78.9824427954051,,,885.3675165332071,101.98826404205032,,
labeled-data,1757487476,img206.png,879.737417453974,63.06097260375148,897.4661316803216,67.72642371594823,946.7332954251192,64.36729891516657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487476,img226.png,988.4345434939937,71.74548334086485,989.2853741770979,88.76209700294943,989.2853741770979,142.08081981081446,973.9704218812218,49.05666512475207,1006.3019878391824,51.60915717406476,,,,,,,,,,,,,,,,,931.9961081814131,121.37727318861155,923.7714115780723,137.2594459398905,901.3662035896609,182.06986191671322,,,,,,,,,,,943.3405172894695,145.7677527709328,,,933.6977695476216,176.11404713498362,,,,,871.5871296810129,74.58158561787894,908.1728490544947,79.4029594888029,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487476,img235.png,902.2115490191208,224.70182175074325,909.2041056703123,243.5817247089605,927.0351251308508,293.92813259753984,878.4368564050694,211.41596411347928,910.252989167991,207.9196857878835,,,,,,,,,,,,,,,,,1039.8734549946273,23.356082909295942,1022.8491472721099,30.717945708222423,974.9970390790878,59.93533869146186,1051.37636561795,9.782648373775267,1056.4376462922119,33.478644257819845,1036.4225818076306,7.712124461577197,1049.0757834932856,44.751496668676005,1008.1254216742569,8.862415523909455,1025.3797876092408,55.10411622966637,962.1137791809665,39.0000413570147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487476,img249.png,,,,,672.1860060806879,91.44348289689981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
